Entity,Code,Year,Share of one-year-olds vaccinated against rubella
Africa,,1981,0.0024077536
Africa,,1982,0.0052330103
Africa,,1983,0.007858525
Africa,,1984,0.0060643614
Africa,,1985,0.0069799633
Africa,,1986,0.0072774407
Africa,,1987,0.007147481
Africa,,1988,0.006544492
Africa,,1989,0.0064178677
Africa,,1990,0.006050988
Africa,,1991,0.0061116726
Africa,,1992,0.0061682593
Africa,,1993,0.005989553
Africa,,1994,0.0059670033
Africa,,1995,0.39391097
Africa,,1996,0.43602175
Africa,,1997,0.43552518
Africa,,1998,0.42943946
Africa,,1999,6.8769217
Africa,,2000,7.0007224
Africa,,2001,7.0283422
Africa,,2002,6.741855
Africa,,2003,6.80325
Africa,,2004,8.532383
Africa,,2005,8.504597
Africa,,2006,8.425473
Africa,,2007,8.372863
Africa,,2008,6.283803
Africa,,2009,6.4853797
Africa,,2010,6.562788
Africa,,2011,6.6395497
Africa,,2012,7.0097985
Africa,,2013,10.231143
Africa,,2014,16.351751
Africa,,2015,18.257378
Africa,,2016,19.588314
Africa,,2017,30.278908
Africa,,2018,35.98314
Africa,,2019,36.65347
Africa,,2020,38.98694
Africa,,2021,38.244892
Africa,,2022,38.2875
Africa,,2023,39.160896
Africa (WHO),,1980,0
Africa (WHO),,1981,0
Africa (WHO),,1982,0
Africa (WHO),,1983,0
Africa (WHO),,1984,0
Africa (WHO),,1985,0
Africa (WHO),,1986,0
Africa (WHO),,1987,0
Africa (WHO),,1988,0
Africa (WHO),,1989,0
Africa (WHO),,1990,0
Africa (WHO),,1991,0
Africa (WHO),,1992,0
Africa (WHO),,1993,0
Africa (WHO),,1994,0
Africa (WHO),,1995,0
Africa (WHO),,1996,0
Africa (WHO),,1997,0
Africa (WHO),,1998,0
Africa (WHO),,1999,0
Africa (WHO),,2000,0
Africa (WHO),,2001,0
Africa (WHO),,2002,0
Africa (WHO),,2003,0
Africa (WHO),,2004,0
Africa (WHO),,2005,0
Africa (WHO),,2006,0
Africa (WHO),,2007,0
Africa (WHO),,2008,0
Africa (WHO),,2009,0
Africa (WHO),,2010,0
Africa (WHO),,2011,0
